=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Energético Red Bull Winter Lata 250ml                                            | R$ 9.98
 ✅ Bebida Mista Keep Cooler Uva 275ml                                               | R$ 7.19
 ✅ Bebida Mista Keep Cooler Cítrus 275ml                                            | R$ 7.19
 ✅ Energético Monster Khaotic Lata 473ml                                            | R$ 7.99
 ✅ Energético Monster Energy Lata 473ml                                             | R$ 7.99
 ✅ Energético Monster Pipeline Punch Lata 473ml                                     | R$ 7.99
 ✅ Bebida Mista Corote Baunilha Com Limão 500ml                                     | R$ 4.89
 ✅ Bebida Mista Corote Ice Limão 275ml                                              | R$ 5.99
 ✅ Bebida Mista Corote Melancia 500ml                                               | R$ 4.89
 ✅ Bebida Mista Corote Tutti Frutti 500ml                                           | R$ 4.89
 ✅ Bebida Mista Corote Ice Pink Lemonade 275ml                                      | R$ 5.99
 ✅ Bebida Mista Corote Ice Sex On The B 275ml                                       | R$ 5.99
 ✅ Bebida Mista Corote Canelinha 500ml                                              | R$ 4.89
 ✅ Energético Vrauu Tradicional Lata 250ml                                          | R$ 3.59
 ✅ Bebida Mista Beats Tropical Lata 269ml                                           | R$ 6.49
 ✅ Energético Monster Pacific Punch Lata 473ml                                      | R$ 7.99
 ✅ Energético Monster Dragon Lemon Lata 473ml                                       | R$ 7.99
 ✅ Energético Monster Absolutely Zero Lata 473ml                                    | R$ 7.99
 ✅ Energético Monster Mango Loco Lata 473ml                                         | R$ 7.99
 ✅ Energético Monster Ultra Lata 473ml                                              | R$ 7.99
