=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Salame Snack Pepperoni Sadia 36g                                                 | R$ 5.24
 ✅ Salame Hamburguês Fatiado Seara 100g                                             | R$ 9.98
 ✅ Mortadela Perdigão De Frango 400g                                                | R$ 8.39
 ✅ Mortadela Perdigão Mista Sem Toucinho 400gr                                      | R$ 8.39
 ✅ Mortadela Perdigão Bolognella 200g                                               | R$ 6.87
 ✅ Salame Sweet Chilli Sadia Salamitos 36g                                          | R$ 5.24

   [NAVEGACAO] Acessando Página: 6 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=6
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Leite Fermentado Actimel Morango 100gr                                           | R$ 4.58
 ✅ Leite Fermentado Elege Bob Esponja Tradicional 480g                              | R$ 7.45
 ✅ Leite Uht Italac Edge A2 Integral 1 L                                            | R$ 7.59
 ✅ Leite Xandô Integral A2a2 Integral 1 L                                           | R$ 9.39
 ✅ Leite Uht Itambé Edge Desnatado Tp 1 L                                           | R$ 5.29
 ✅ Leite Uht Itambé Edge Semi Desnatado Tp 1 L                                      | R$ 5.29
 ✅ Leite Uht Itambé Edge Integral Tp 1 L                                            | R$ 5.29
 ✅ Leite Uht Ninho Semi Desnatado A2a2 Tp 1 L                                       | R$ 6.99
 ✅ Leite Gege Tipo B Saquinho 1 L                                                   | R$ 4.79
 ✅ Leite Italac A2 Semidesnatado Edge Uht Tp 1 L                                    | R$ 5.99
 ✅ Leite Pantalat Semidesnatado Uht Tp 1 L                                          | R$ 3.95
 ✅ Leite Itambé Nolac Zero Lactose Desnatado Uht Tp 1 L                             | R$ 6.29
 ✅ Leite Itambé Nolac Zero Lactose Semidesnatado Uht Tp 1 L                         | R$ 5.98
 ✅ Leite Itambé Nolac Zero Lactose Integral Uht Tp 1 L                              | R$ 6.79
 ✅ Leite Gege Zero Lactose Semidesnatado Uht Tp 1 L                                 | R$ 5.98
 ✅ Leite Pantalat Desnatado Uht Tp 1 L                                              | R$ 3.95
 ✅ Leite Shefa Semidesnatado Uht Garrafa 1 L                                        | R$ 5.39
 ✅ Leite Shefa Integral Uht Garrafa 1 L                                             | R$ 5.39
 ✅ Leite Shefa Desnatado Uht Garrafa 1 L                                            | R$ 5.39
 ✅ Leite Xandô Desnatado Garrafa 1 L                                                | R$ 8.99
 ✅ Leite Xandô Semidesnatado Garrafa 1 L                                            | R$ 8.99
 ✅ Leite Ninho Zero Lactose Semidesnatado Uht Tp 1 L                                | R$ 6.98
 ✅ Leite Jussara Integral Edge Uht Tp 1 L                                           | R$ 5.39
 ✅ Leite Gege Desnatado Uht Tp 1 L                                                  | R$ 5.09
 ✅ Leite Molico Zero Lactose Desnatado Uht Tp 1 L                                   | R$ 6.59
 ✅ Leite Xandô Zero Lactose Semidesnatado Garrafa 1 L                               | R$ 9.85
 ✅ Leite Piracanjuba Semidesnatado Zero Lactose 1 L                                 | R$ 6.99
 ✅ Leite Fermentado Frutap 170g                                                     | R$ 3.59
 ✅ Queijo Ralado Lactvit 40g                                                        | R$ 3.99
 ✅ Queijo Camembert Président 125g                                                  | R$ 32.59
 ✅ Queijo Polenguinho Light Com 4 Unidades 68gr                                     | R$ 8.99
 ✅ Queijo Prato Lanche Crioulo 550g                                                 | R$ 62.94
 ✅ Queijo Minas Padrão Valeza 580g                                                  | R$ 46.39
 ✅ Queijo Cheddar Polenghi Fatiado Sandwich-in 144gr                                | R$ 18.99
 ✅ Queijo Cremoso Danubio Light 150g                                                | R$ 12.97
 ✅ Queijo Frescatino Light Polenghi 250gr                                           | R$ 22.45
 ✅ Salsicha União Hot Dog Longuete 500g                                             | R$ 7.48
 ✅ Queijo Minas Frescal Dourado 500g Pedaço                                         | R$ 25.00
 ✅ Margarina Cremosy Com Sal 1kg                                                    | R$ 14.45
 ✅ Margarina Cremosy 500g Com Sal                                                   | R$ 7.75

   [NAVEGACAO] Acessando Página: 7 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=7
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Creme Queijo Batavo Quark Frutas Vermelhas 100g                                  | R$ 2.79
 ✅ Queijo Ralado Crioulo 50g Parmesão                                               | R$ 6.82
 ✅ Queijo Polenguinho Pocket Com 2unid. 17g Cada                                    | R$ 4.63
 ✅ Queijo Polenghi Sandwich Sabor Cheddar Light 144g                                | R$ 18.99
 ✅ Queijo Prato Polenghi Fatiado Sandwich-in 144gr                                  | R$ 19.99
 ✅ Queijo Danubio 250g Minas Frescal Tradicional                                    | R$ 15.99
 ✅ Queijo Polenguinho Tradicional Com 4 Unidades 68gr                               | R$ 8.99
 ✅ Queijo Petit Brie Président - 125g                                               | R$ 32.59
 ✅ Queijo Camembert Président 125g                                                  | R$ 32.59
 ✅ Queijo Polenguinho Light Com 4 Unidades 68gr                                     | R$ 8.99
 ✅ Queijo Prato Lanche Crioulo 550g                                                 | R$ 62.94
 ✅ Queijo Minas Padrão Valeza 580g                                                  | R$ 46.39
 ✅ Queijo Cheddar Polenghi Fatiado Sandwich-in 144gr                                | R$ 18.99
 ✅ Queijo Cremoso Danubio Light 150g                                                | R$ 12.97
 ✅ Queijo Frescatino Light Polenghi 250gr                                           | R$ 22.45
 ✅ Salsicha União Hot Dog Longuete 500g                                             | R$ 7.48
 ✅ Queijo Minas Frescal Dourado 500g Pedaço                                         | R$ 25.00
 ✅ Queijo Ralado Lactvit 40g                                                        | R$ 3.99
 ✅ Queijo Mussarela São Leopoldo Fatiada 200 Gr                                     | R$ 6.58
 ✅ Cream Cheese Danubio 150 Gr Pistache                                             | R$ 12.97
 ✅ Queijo Parmesão Vigor 200 Gr Fatiado                                             | R$ 33.69
 ✅ Margarina Qualy Light Zero Lactose Com Sal 250g                                  | R$ 5.69
 ✅ Margarina Cremosy 500g Com Sal                                                   | R$ 7.75
 ✅ Gordura Vegetal Primor 500g                                                      | R$ 15.55
 ✅ Margarina Cremosy Com Sal 1kg                                                    | R$ 14.45
 ✅ Margarina Qualy Sem Sal 250g                                                     | R$ 5.69
 ✅ Leite Ninho Zero Lactose Integral Uht Tp 1 L                                     | R$ 6.98
 ✅ Margarina Qualy Tradicional Pt 250g Com Sal                                      | R$ 5.78
 ✅ Margarina Claybom Cremosa Sabor Manteiga 500g Com Sal                            | R$ 5.99
 ✅ Margarina Doriana 1 Kg Com Sal                                                   | R$ 17.99
 ✅ Margarina Qualy Vita 500g Sem Sal                                                | R$ 9.99
 ✅ Margarina Delicia 1 Kg Com Sal                                                   | R$ 14.99
 ✅ Margarina Qualy Vita 500g Com Sal                                                | R$ 9.99
 ✅ Margarina Delicata 500g Com Sal                                                  | R$ 7.74
 ✅ Cream Cheese Presindent 150g Tradicional                                         | R$ 11.98
 ✅ Leite Pantalat Integral Uht Tp 1 L                                               | R$ 3.95
 ✅ Leite Molico Desnatado Edge Uht Tp 1 L                                           | R$ 6.79
 ✅ Bebida Vegetal Almond Breeze Piracanjuba Amendoa Original 1 L                    | R$ 22.69
 ✅ Leite Itambé Natural Milk Integral Uht Tp 1 L                                    | R$ 7.99
 ✅ Leite Ninho Integral Edge Uht Tp 1 L                                             | R$ 6.79

   [NAVEGACAO] Acessando Página: 8 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=8
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Iogurte Frutap Frutas Vermelhas 450g                                             | R$ 8.45
 ✅ Iiogurte Danone Yopro Morango 250g                                               | R$ 15.85
 ✅ Iogurte Danone Vitamina 170g                                                     | R$ 4.37
 ✅ Iogurte Natural Frimesa Mel 165g                                                 | R$ 2.99
 ✅ Iogurte Nestlé Ninho Maçã E Banana 170g                                          | R$ 3.79
 ✅ Iogurte Frimesa Salada De Frutas / Morango 540g                                  | R$ 6.49
 ✅ Iogurte Danone Yopro Morango 160g                                                | R$ 12.98
 ✅ Iogurte Frutap Coco 160g                                                         | R$ 3.59
 ✅ Iogurte Danone Natural Desnatado 160g                                            | R$ 4.37
 ✅ Iogurte Nestlé Morango 170g                                                      | R$ 3.48
 ✅ Iogurte Frimesa Morango 540g                                                     | R$ 6.49
 ✅ Iogurte Danone Natural Mel 160g                                                  | R$ 4.37
 ✅ Bebida Láctea Frutilac Morango 360 G                                             | R$ 5.74
 ✅ Iogurte Danoninho Banana E Maçã 100g                                             | R$ 3.97
 ✅ Iogurte Frutap Salada Frutas 1250g                                               | R$ 17.85
 ✅ Bebida Láctea Nestlé Nescau Shake Garrafa 270ml                                  | R$ 8.39
 ✅ Iogurte Nestlé Natural Integral 170g                                             | R$ 2.99
 ✅ Iogurte Frimesa Morango Zero 170g                                                | R$ 3.18
 ✅ Bebida Láctea Nescafé Garrafa 270ml                                              | R$ 8.39
 ✅ Iogurte Frimesa Morango 850g                                                     | R$ 12.99
 ✅ Iogurte Frutap Frutas Vermelhas 850g                                             | R$ 11.97
 ✅ Nata Frimesa Pote 300gr                                                          | R$ 17.99
 ✅ Iogurte Grego Batavo Pense Zero Morango 100g                                     | R$ 3.19
 ✅ Requeijão Bisnaga Cheddar Valeza 400g                                            | R$ 17.99
 ✅ Leite Fermentado Ameixa 170g                                                     | R$ 4.77
 ✅ Requeijão Catupiry Sache 250g Chedar                                             | R$ 18.98
 ✅ Requeijão Catupiry Disco 250g                                                    | R$ 20.95
 ✅ Iogurte Nestlé Ninho Maça/banana 850g                                            | R$ 16.25
 ✅ Requeijão Batavo Light 200g                                                      | R$ 9.98
 ✅ Iogurte Natural Frimesa Integral 165g                                            | R$ 2.99
 ✅ Iogurte Vigor Vitamina 1,150g                                                    | R$ 16.98
 ✅ Iogurte Frutap Ameixa 850g                                                       | R$ 11.97
 ✅ Iogurte Frimesa Bi-camada Frutas Vermelhas 165g                                  | R$ 3.98
 ✅ Requeijão Catupiry Light Sachet 250g                                             | R$ 20.98
 ✅ Iogurte Frutap Salada De Frutas 450g                                             | R$ 8.45
 ✅ Requeijão Puranata Bisnaga 250gr                                                 | R$ 7.56
 ✅ Iogurte Danone Yopro Doce De Leite 250g                                          | R$ 15.85
 ✅ Requeijão Puranata Bisnaga 400g                                                  | R$ 11.23
 ✅ Requeijão Polenghi Cheddar 200g                                                  | R$ 9.99
 ✅ Requeijão Crioulo Tradicional 220g                                               | R$ 14.99

   [NAVEGACAO] Acessando Página: 9 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=9
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Requeijão Cremoso Poços De Caldas 200g                                           | R$ 9.99
 ✅ Requeijão Catupiry Light 200g                                                    | R$ 11.99
 ✅ Requeijão Crioulo Tradicional Bisnaga 400g                                       | R$ 22.97
 ✅ Requeijão Nestlé Tradicional 200g                                                | R$ 9.95
 ✅ Iogurte Nestlé Vitamina De Frutas 170g                                           | R$ 3.48
 ✅ Requeijão Poços De Caldas Light 220g                                             | R$ 9.99
 ✅ Leite Fermentado Ameixa 170g                                                     | R$ 4.77
 ✅ Requeijão Catupiry Sache 250g Chedar                                             | R$ 18.98
 ✅ Requeijão Catupiry Disco 250g                                                    | R$ 20.95
 ✅ Iogurte Nestlé Ninho Maça/banana 850g                                            | R$ 16.25
 ✅ Requeijão Batavo Light 200g                                                      | R$ 9.98
 ✅ Iogurte Natural Frimesa Integral 165g                                            | R$ 2.99
 ✅ Iogurte Vigor Vitamina 1,150g                                                    | R$ 16.98
 ✅ Iogurte Frutap Ameixa 850g                                                       | R$ 11.97
 ✅ Iogurte Frimesa Bi-camada Frutas Vermelhas 165g                                  | R$ 3.98
 ✅ Requeijão Catupiry Light Sachet 250g                                             | R$ 20.98
 ✅ Requeijão Bisnaga Cheddar Valeza 400g                                            | R$ 17.99
 ✅ Requeijão Frimesa Light 180gr                                                    | R$ 10.98
 ✅ Requeijão Danone Light 200g                                                      | R$ 8.99
 ✅ Bebida Láctea Batavo Morango E Pêssego 510g                                      | R$ 4.99
 ✅ Requeijão Polenghi Zero Lactose 200g                                             | R$ 12.99
 ✅ Requeijão Puranata Bisnaga 400g                                                  | R$ 11.23
 ✅ Requeijão Puranata Bisnaga 250gr                                                 | R$ 7.56
 ✅ Iogurte Danone Yopro Doce De Leite 250g                                          | R$ 15.85
 ✅ Iogurte Frutap Salada De Frutas 450g                                             | R$ 8.45
 ✅ Requeijão Polenghi Cheddar 200g                                                  | R$ 9.99
 ✅ Requeijão Crioulo Tradicional 220g                                               | R$ 14.99
 ✅ Iogurte Frutap Morango 450g                                                      | R$ 8.45
 ✅ Iogurte Frutap Zero Lactose Morango 160g                                         | R$ 3.84
 ✅ Iogurte Frimesa Ameixa Zero 850g                                                 | R$ 13.99
 ✅ Iogurte Nestlé Morango 1250g                                                     | R$ 19.69
 ✅ Bebida Láctea Pirakids Chocolate Tp 200ml                                        | R$ 1.79
 ✅ Iogurte Integral Mel Batavo Pote 170g                                            | R$ 3.55
 ✅ Bebida Láctea Nestlé Nesquik Morango Tp 200ml                                    | R$ 3.79
 ✅ Iogurte Frutap Salada De Frutas 850g                                             | R$ 11.97
 ✅ Iogurte Vigor Viv 3 Grãos Frambuesa/limão 800g                                   | R$ 14.99
 ✅ Iogurte Frimesa Morango 170g                                                     | R$ 3.09
 ✅ Iogurte Frimesa Frutas Vermelhas 170g                                            | R$ 3.09
 ✅ Bebida Láctea Batavo Morango 510g                                                | R$ 4.99
 ✅ Bebida Láctea Itambé Chocolate Tp 200ml                                          | R$ 2.29

   [NAVEGACAO] Acessando Página: 10 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=10
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Iogurte Frimesa Bi-camada Frutas Vermelhas 165g                                  | R$ 3.98
 ✅ Iogurte Frutap Ameixa 850g                                                       | R$ 11.97
 ✅ Iogurte Vigor Vitamina 1,150g                                                    | R$ 16.98
 ✅ Iogurte Natural Frimesa Integral 165g                                            | R$ 2.99
 ✅ Requeijão Batavo Light 200g                                                      | R$ 9.98
 ✅ Iogurte Nestlé Ninho Maça/banana 850g                                            | R$ 16.25
 ✅ Requeijão Catupiry Disco 250g                                                    | R$ 20.95
 ✅ Requeijão Catupiry Sache 250g Chedar                                             | R$ 18.98
 ✅ Leite Fermentado Ameixa 170g                                                     | R$ 4.77
 ✅ Requeijão Poços De Caldas Light 220g                                             | R$ 9.99
 ✅ Iogurte Nestlé Vitamina De Frutas 170g                                           | R$ 3.48
 ✅ Requeijão Nestlé Tradicional 200g                                                | R$ 9.95
 ✅ Requeijão Crioulo Tradicional Bisnaga 400g                                       | R$ 22.97
 ✅ Requeijão Catupiry Light 200g                                                    | R$ 11.99
 ✅ Requeijão Cremoso Poços De Caldas 200g                                           | R$ 9.99
 ✅ Creme De Ricota President 200g                                                   | R$ 9.98
 ✅ Requeijão Qualy Tradicional 200g                                                 | R$ 11.25
 ✅ Requeijão Cremoso Nestle Light 200gr                                             | R$ 9.95
 ✅ Iogurte Vigor Natural 3 Grãos Morango 100g                                       | R$ 4.99
 ✅ Requeijão Catupiry Sachet 250gr                                                  | R$ 22.99
 ✅ Requeijão Catupiry Tradicional 200g                                              | R$ 11.69
 ✅ Iogurte Frimesa Morango Zero 850g                                                | R$ 13.99
 ✅ Requeijão Poços De Caldas Tradicional 400g                                       | R$ 19.99
 ✅ Requeijão Frimesa Tradicional Copo 180gr                                         | R$ 9.98
 ✅ Requeijão Polenghi Tradicional 200gr                                             | R$ 9.99
 ✅ Iogurte Grego Batavo Tradicional 100g                                            | R$ 3.19
 ✅ Iogurte Nestlé Molico Morango 850g                                               | R$ 16.25
 ✅ Iogurte Frimesa Coco 170g                                                        | R$ 3.09
 ✅ Iogurte Danone Yopro Pouch Morango 160g                                          | R$ 11.99
 ✅ Requeijão Batavo Tradicional 200g                                                | R$ 9.98
 ✅ Requeijão Cremoso Catupiry 410g                                                  | R$ 29.89
 ✅ Talharim Massaleve Receita Italiana Massa Fresca 500g                            | R$ 9.95
 ✅ Macarrão Petybon Grano Duro Tricolore Fusilli 500g                               | R$ 8.99
 ✅ Iogurte Liquido Frimesa Light Ameixa 165g                                        | R$ 3.06
 ✅ Macarrão Petybon Grano Duro Fettuccine 500g                                      | R$ 8.99
 ✅ Macarrão Petybon Grano Duro Spaghetti 500g                                       | R$ 8.99
 ✅ Requeijão Qualy Light 200g                                                       | R$ 11.25
 ✅ Macarrão Da Roz Yakissoba 500g                                                   | R$ 10.99
 ✅ Iogurte Vigor Morango 1,150g                                                     | R$ 16.98
 ✅ Requeijão Vigor Tradicional 200g                                                 | R$ 8.99

   [NAVEGACAO] Acessando Página: 11 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=11
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Macarrão Renata Semola Tricolore Pena 500g                                       | R$ 9.19
 ✅ Iogurte Nestlé Vitamina De Frutas 900g                                           | R$ 15.45
 ✅ Macarrão Renata C/ Ovos Ninho 2 500g                                             | R$ 7.49
 ✅ Macarrão Renata C/ Ovos Espaguete 9 500g                                         | R$ 5.39
 ✅ Sobremesa Láctea Frimesa Baunilha Calda Frutas Vermelhas 200 Ml                  | R$ 5.17
 ✅ Macarrão Petybon Grano Duro Tricolore Fusilli 500g                               | R$ 8.99
 ✅ Iogurte Liquido Frimesa Light Ameixa 165g                                        | R$ 3.06
 ✅ Macarrão Petybon Grano Duro Fettuccine 500g                                      | R$ 8.99
 ✅ Macarrão Petybon Grano Duro Spaghetti 500g                                       | R$ 8.99
 ✅ Requeijão Qualy Light 200g                                                       | R$ 11.25
 ✅ Macarrão Da Roz Yakissoba 500g                                                   | R$ 10.99
 ✅ Talharim Massaleve Receita Italiana Massa Fresca 500g                            | R$ 9.95
 ✅ Macarrão Galo Sêmola Argola 500g                                                 | R$ 5.15
 ✅ Macarrão Galo Sêmola Show Alfabeto 500g                                          | R$ 5.15
 ✅ Bebida Láctea Nestlé Alpino Garrafa 280ml                                        | R$ 8.39
 ✅ Requeijão Vigor Tradicional 200g                                                 | R$ 8.99
 ✅ Iogurte Vigor Morango 1,150g                                                     | R$ 16.98
 ✅ Ravioli Massaleve Recheio De Frango 400g                                         | R$ 10.95
 ✅ Massa Capeletti De Frango Mezzani 400gr                                          | R$ 12.98
 ✅ Macarrão Galo Sêmola Parafusinho 500g                                            | R$ 5.15
 ✅ Lasanha Massaleve Fresca 500gr                                                   | R$ 8.95
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Mussarela Ralado Fresco Président Pacote 100g                            
   ❌ FILTRADO: Preço NULL. Descrição: Patê De Creme De Leite Cebola Nestlé Lata 160g                                  
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Frimesa Zero Lactose Frutas Vermelhas 165g                              
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Mucarela Porto Alegre Light Fatiado 150g                                 
   ❌ FILTRADO: Preço NULL. Descrição: Macarrão Galo Sêmola Pena 500g                                                  
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Liquido Danone Corpus Amora Maracuja                                    
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Vigor Frutas Vermelhas 900g                                             
   ❌ FILTRADO: Preço NULL. Descrição: Bebida Láctea Italac Whey Protein Chocolate Tp 250ml                            
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Batavo Grego Morango/light 450g                                         
   ❌ FILTRADO: Preço NULL. Descrição: Torresmo De Microondas Santa Massa P/microondas 60g                             
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Frimesa Light Morango 165g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Ralado Renata 50g                                                        
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Polenghi Cream Cheese 150g                                               
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Parcialmente Desnatado Morango Batavo Garrafa 1,25kg Embalagem Econômica
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Mais Sabor Parmesão Ralado Pa 40g                                        
   ❌ FILTRADO: Preço NULL. Descrição: Bebida Láctea Itambe Pro Whey Cafe 200ml                                        
   ❌ FILTRADO: Preço NULL. Descrição: Queijo Parmesão Ralado Vigor Bandeja 150g                                       
   ❌ FILTRADO: Preço NULL. Descrição: Salame Hamburguês Sadia 150g                                                    
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Parcialmente Desnatado Morango Batavo Frasco 170g                       

   [NAVEGACAO] Acessando Página: 12 | URL: https://www.supercentralonline.com.br/departamentos/frios-e-laticinios?page=12
   [EXTRACAO] Encontrados 40 elementos de produto na página.
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Porto Alegre Bisnaga 1,5kg                                            
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio Tradicional 220g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Frimesa Ervas Fina 180g                                               
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio 250g Zero                                                     
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Catupiry Azeitona Preta 180g                                          
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Porto Alegre Light 400g                                               
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio Light 220g                                                    
   ❌ FILTRADO: Preço NULL. Descrição: Creme De Queijo Cottage Porto Alegre 200g                                       
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Frimesa 4 Queijos Po 180g                                             
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Catupiry Ervas Finas 180g                                             
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Crioulo Bisnaga 1,8kg                                                 
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Matilat Tradicional 180g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Porto Alegre 400g                                                     
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Porto Alegre Tradicional 200g                                         
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Catupiry 4 Queijos Sache 250gr                                        
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Porto Alegre Light 200g                                               
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Catupiry Peito De Peru 180g                                           
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Polenghi Queijo Prato 200g                                            
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Poços De Caldas Light 220g                                            
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio Lightl 250g                                                   
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Poços De Caldas Tradicional 220g                                      
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio Zerol 250g                                                    
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Danubio Tradicional 250g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Curral De Minas Tradicional 400g                                      
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Curral De Minas Light 200g                                            
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Curral De Minas Bisnaga 1,3kg                                         
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Curral De Minas Tradicional 200g                                      
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Crioulo Zero Lactose 180g                                             
   ❌ FILTRADO: Preço NULL. Descrição: Requeijão Levitare Bufala Zero Lactose 200g                                     
   ❌ FILTRADO: Preço NULL. Descrição: Patê De Presunto Sadia 100g                                                     
   ❌ FILTRADO: Preço NULL. Descrição: Patê Creme Leite Nestle Ervas Finas                                             
   ❌ FILTRADO: Preço NULL. Descrição: Patê Creme Leite Nestle Alho Negro E Queijo                                     
   ❌ FILTRADO: Preço NULL. Descrição: Patê De Presunto Seara 100g                                                     
   ❌ FILTRADO: Preço NULL. Descrição: Pão Doce De Leite Santa Massa 300g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Patê De Creme De Leite Cebola Nestlé Lata 160g                                  
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Liquido Danone Corpus Amora Maracuja                                    
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Vigor Frutas Vermelhas 900g                                             
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Batavo Grego Morango/light 450g                                         
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Frimesa Light Morango 165g                                              
   ❌ FILTRADO: Preço NULL. Descrição: Iogurte Activia Morango 170g                                                    
   [PAG-FIM] Página acessada, mas vazia. Fim da paginação.

<<< FIM DEPTO: FRIOS E LATICINIOS. Vistos: 539 | Positivos: 421 >>>


=======================================================
>>> INICIANDO DEPTO: HORTIFRUTI | Link: departamentos/hortifruti <<<
=======================================================

   [NAVEGACAO] Acessando Página: 1 | URL: https://www.supercentralonline.com.br/departamentos/hortifruti
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Avocado 1,0kg                                                                    | R$ 22.90
 ✅ Pêra Asiática 600g                                                               | R$ 11.94
 ✅ Alho Pacote Franro 500g                                                          | R$ 27.99
 ✅ Alho Pacote Franro 200g                                                          | R$ 10.99
 ✅ Alho Pacote Canaã 200g                                                           | R$ 10.87
 ✅ Alho Pacote Canaã 500g                                                           | R$ 26.98
 ✅ Tomate Extra 1,0kg                                                               | R$ 8.99
 ✅ Tomate Italiano 1,0kg                                                            | R$ 8.99
 ✅ Mamão Formosa 2,5kg                                                              | R$ 24.88
 ✅ Melão Cepi 1,4kg                                                                 | R$ 12.28
 ✅ Kiwi Importado 600g                                                              | R$ 17.34
 ✅ Cara 1,0kg                                                                       | R$ 8.99
 ✅ Laranja Pêra 1,0kg                                                               | R$ 6.77
 ✅ Pepino Comum 600g                                                                | R$ 2.85
 ✅ Repolho Verde 1,8kg                                                              | R$ 3.51
 ✅ Graviola 2,0kg                                                                   | R$ 39.90
 ✅ Melão Espanhol 1,5kg                                                             | R$ 7.44
 ✅ Laranja Lima Da Persia 600g                                                      | R$ 3.57
 ✅ Maçã Gala 800g                                                                   | R$ 11.00
 ✅ Melão Doce Redinha 2,0kg                                                         | R$ 15.76
 ✅ Coco Seco 600g                                                                   | R$ 4.79
 ✅ Pepino Caipira 600g                                                              | R$ 2.93
 ✅ Uva Itália 500g                                                                  | R$ 7.95
 ✅ Maçã Fuji 800g                                                                   | R$ 11.00
 ✅ Repolho Roxo 1,0kg                                                               | R$ 6.95
 ✅ Maxixe 1,0kg                                                                     | R$ 14.90
 ✅ Vagem 300g                                                                       | R$ 4.47
 ✅ Alho Granel 200g                                                                 | R$ 5.98
 ✅ Batata Doce Branca 1,0kg                                                         | R$ 8.95
 ✅ Pimentão Verde 600g                                                              | R$ 6.54
 ✅ Chuchu 600g                                                                      | R$ 1.77
 ✅ Pimenta Cambuci 300g                                                             | R$ 5.37
 ✅ Pimenta Ardida 250g                                                              | R$ 6.98
 ✅ Berinjela Comum 600g                                                             | R$ 3.57
 ✅ Abobora Moranga 6,0kg                                                            | R$ 16.62
 ✅ Batata Doce Rosada 1,0kg                                                         | R$ 4.77
 ✅ Cebola Roxa 600g                                                                 | R$ 4.17
 ✅ Pimentão Amarelo 600g                                                            | R$ 14.94
 ✅ Gengibre 400g                                                                    | R$ 5.16
 ✅ Jiló 300g                                                                        | R$ 5.67

